,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
507,Daplace - Sofia Apartment,"8,2",Ottimo ,72 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 510,"1,1 km dal centro","Spagna, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 120 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 120 m²3 letti (1 divano letto, 2 matrimoniali)"
508,I Fiumi Di Navona,"8,3",Ottimo ,566 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 183,"0,9 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale largeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
509,iRooms Central Station,"8,8",Favoloso ,747 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 163,"1,6 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale Budget ,Configurazione camera non disponibile,Camera Matrimoniale Budget 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
510,THE ONE Boutique Hotel & SPA Rome,"8,3",Ottimo ,886 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 371,"0,8 km dal centro","Trevi, Roma",4.0,,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale DeluxeLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
511,Domus Prati,"8,1",Ottimo ,772 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 175,"2,3 km dal centro","Vaticano Prati, Roma",,3.0,Camera Tripla Basic,Configurazione camera non disponibile,"Camera Tripla Basic2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaRestano solo 3 camere a questo prezzo sul nostro sito"
512,Garden Area Roma Eur,"8,1",Ottimo ,2.755 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 133,"5,6 km dal centro","Ostiense, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
513,Vatican City Guest House,"7,9",Buono ,174 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 181,"2,5 km dal centro","Vaticano Prati, Roma",,3.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
514,Hotel Katty,"8,4",Ottimo ,799 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 159,2 km dal centro,"Stazione Termini, Roma",1.0,,Camera Quadrupla,Configurazione camera non disponibile,Camera QuadruplaVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
515,"Room Mate Collection Gran Filippo, Rome-Fontana di Trevi","9,5",Eccezionale ,266 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 393,"1,1 km dal centro","Via Veneto, Roma",,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeRestano solo 5 camere a questo prezzo sul nostro sito
516,Residenza Castrense,"9,0",Eccellente ,365 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 158,"2,3 km dal centro","Nomentano, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
517,Ecclesia Domus Vatican Inn,"9,3",Eccellente ,234 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 142,"3,2 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale con Balcone,Configurazione camera non disponibile,"Camera Matrimoniale con Balcone2 letti (1 divano letto, 1 matrimoniale)Restano solo 2 camere a questo prezzo sul nostro sito"
518,Hotel dei Quiriti,"7,7",Buono ,1.416 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 231,"2,2 km dal centro","Vaticano Prati, Roma",1.0,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseRestano solo 6 camere a questo prezzo sul nostro sito
519,La Residenza,"8,7",Favoloso ,1.066 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 275,"1,3 km dal centro","Via Veneto, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimoniale largeColazione inclusaRestano solo 3 camere a questo prezzo sul nostro sito
520,Viale Giulio Cesare Guest House,"8,6",Favoloso ,679 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 125,"2,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
521,Je Rome Hotel,"8,7",Favoloso ,31 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 326,400 m dal centro,"Trevi, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale large
522,The Vista Rooms & Terrace,"9,2",Eccellente ,722 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 209,"0,5 km dal centro","Pantheon, Roma",,4.0,Camera Matrimoniale con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato Esterno 1 letto matrimonialeColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
523,Core De Roma Suites,"7,9",Buono ,840 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 128,"1,1 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
524,Residenza Belli Inn,"7,5",Buono ,1.159 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 129,"1,5 km dal centro","Trastevere, Roma",,3.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
525,FLAT 07 - New Opening,"8,0",Ottimo ,139 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 375,"1,8 km dal centro","Stazione Termini, Roma",,4.0,Appartamento con 3 Camere da Letto,Intero appartamento • 3 camere da letto • 2 bagni • 1 cucina • 90 m²,Appartamento con 3 Camere da LettoIntero appartamento • 3 camere da letto • 2 bagni • 1 cucina • 90 m²3 letti matrimoniali
526,Mario De' Fiori 37,"9,6",Eccezionale ,561 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 365,"1,2 km dal centro","Spagna, Roma",4.0,,Monolocale Deluxe,Intero monolocale • 1 bagno • 29 m²,Monolocale DeluxeIntero monolocale • 1 bagno • 29 m²1 letto matrimoniale largeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaNe resta solo 1 a questo prezzo sul nostro sito
527,Hotel Principe Torlonia,"8,1",Ottimo ,992 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 180,"3,9 km dal centro","Nomentano, Roma",4.0,,Camera Matrimoniale Economy - Seminterrato,Configurazione camera non disponibile,Camera Matrimoniale Economy - Seminterrato1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
528,Antica Dimora dell'Orso,"7,7",Buono ,544 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 134,1 km dal centro,"Spagna, Roma",,3.0,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 divano letto, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
529,Domus Alberico,"9,5",Eccezionale ,439 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 428,"1,8 km dal centro","Vaticano Prati, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 80 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 80 m²3 letti (1 matrimoniale alla francese, 1 divano letto, 1 matrimoniale)Ne resta solo 1 a questo prezzo sul nostro sito"
530,Guesthouse o Affittacamere Casa Barberini,"8,2",Ottimo ,948 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 149,"1,1 km dal centro","Via Veneto, Roma",,4.0,Camera Matrimoniale con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato Esterno 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
531,Magica Luna Boutique Hotel - Roma,"8,9",Favoloso ,641 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 196,2 km dal centro,"Centro di Roma, Roma",,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
532,Rome Key Luxury House,"8,5",Ottimo ,454 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 131,"2,3 km dal centro","Nomentano, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli2 letti singoliResta solo 1 camera a questo prezzo sul nostro sito
533,Hotel Villa San Lorenzo Maria,"8,2",Ottimo ,2.720 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 197,"2,9 km dal centro","San Lorenzo, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
534,Corso Vittorio 308,"9,4",Eccellente ,467 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 191,"1,4 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
535,Garner Hotel Rome Aurelia by IHG,"8,1",Ottimo ,1.434 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 151,"5,4 km dal centro","Aurelio, Roma",4.0,,Camera Premium ,Configurazione camera non disponibile,Camera Premium 
536,Hotel Centro Cavour Roma,"8,9",Favoloso ,2.914 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 172,"0,8 km dal centro","Rione Monti, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
537,K Rooms,"7,8",Buono ,580 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 146,2 km dal centro,"Stazione Termini, Roma",,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale largeRestano solo 4 camere a questo prezzo sul nostro sito
538,Marcella Royal Hotel - Rooftop Garden,"8,6",Favoloso ,503 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 270,"1,8 km dal centro","Centro di Roma, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 2 camere a questo prezzo sul nostro sito
539,c-hotels Club House Roma,"8,9",Favoloso ,6.185 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 151,"4,7 km dal centro","Aurelio, Roma",4.0,,Camera Matrimoniale Smart,Configurazione camera non disponibile,Camera Matrimoniale Smart1 letto matrimoniale alla franceseRestano solo 3 camere a questo prezzo sul nostro sito
540,Hotel Barocco,"9,0",Eccellente ,1.420 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 349,1 km dal centro,"Via Veneto, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
541,Adesso Hotel,"9,0",Eccellente ,2.789 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 195,"4,2 km dal centro","Nomentano, Roma",4.0,,Camera Matrimoniale Superior - Piano Terra,Configurazione camera non disponibile,Camera Matrimoniale Superior - Piano Terra1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
542,Town House 57,"8,3",Ottimo ,496 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 190,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
543,Hotel Marc'Aurelio,"7,9",Buono ,1.863 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 188,"5,2 km dal centro","Aurelio, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliVari tipi di lettoColazione inclusaRestano solo 5 camere a questo prezzo sul nostro sito
544,Monti 66 Hotel,"8,3",Ottimo ,554 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 182,"0,8 km dal centro","Rione Monti, Roma",,,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
545,Giuliana Vatican Luxury Home,"9,5",Eccezionale ,65 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 339,"2,9 km dal centro","Vaticano Prati, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 110 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 110 m²5 letti (2 singoli, 1 divano letto, 2 matrimoniali)"
546,A Peace Of Rome B&B,"8,9",Favoloso ,746 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 214,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Familiare ,Configurazione camera non disponibile,"Camera Familiare 3 letti (2 singoli, 1 matrimoniale grande)Cancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito"
547,Anthony Guesthouse,"8,9",Favoloso ,355 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,2 km dal centro,"Stazione Termini, Roma",,4.0,Camera Tripla Superior,Configurazione camera non disponibile,Camera Tripla SuperiorVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
548,Crosti Hotel,"8,4",Ottimo ,3.228 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 231,"1,9 km dal centro","Stazione Termini, Roma",3.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
549,NH Roma Villa Carpegna,"8,3",Ottimo ,2.572 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 194,"3,6 km dal centro","Aurelio, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in struttura
550,Relais Circo Massimo,"9,6",Eccezionale ,498 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,"1,4 km dal centro","Aventino, Roma",,4.0,Monolocale con Vista Giardino,Intero monolocale • 1 bagno • 1 cucina • 30 m²,Monolocale con Vista GiardinoIntero monolocale • 1 bagno • 1 cucina • 30 m²Vari tipi di lettoNe resta solo 1 a questo prezzo sul nostro sito
551,Hotel Indipendenza,"7,8",Buono ,1.113 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 97,"1,8 km dal centro","Stazione Termini, Roma",1.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseRestano solo 2 camere a questo prezzo sul nostro sito
552,Villa Eur Parco Dei Pini,"7,8",Buono ,4.712 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 145,"8,2 km dal centro","Eur, Roma",3.0,,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
553,Radisson Blu GHR Rome,"8,3",Ottimo ,2.158 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 284,"3,4 km dal centro","Villa Borghese/Parioli, Roma",4.0,,Camera Superior,Configurazione camera non disponibile,Camera Superior1 letto matrimoniale
554,Capricci Romani,"9,0",Eccellente ,508 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 253,"1,9 km dal centro","Vaticano Prati, Roma",,4.0,Camera Tripla Deluxe ,Configurazione camera non disponibile,"Camera Tripla Deluxe 2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
555,Pantheon Inn,"8,3",Ottimo ,2.338 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 236,400 m dal centro,"Pantheon, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera MatrimonialeVari tipi di lettoColazione inclusaRestano solo 7 camere a questo prezzo sul nostro sito
556,Relais Cavour,"8,5",Ottimo ,567 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,"1,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
557,Porta Castello Suites,"9,2",Eccellente ,428 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 257,"1,9 km dal centro","Vaticano Prati, Roma",,4.0,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaRestano solo 3 camere a questo prezzo sul nostro sito"
558,Via Veneto Prestige Rooms,"9,0",Eccellente ,1.234 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 236,"1,1 km dal centro","Trevi, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 4 camere a questo prezzo sul nostro sito
559,Hotel Villa Pinciana,"8,8",Favoloso ,568 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 253,"1,7 km dal centro","Via Veneto, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliVari tipi di lettoColazione inclusa
560,InnsideRome,"8,5",Ottimo ,295 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 158,"2,3 km dal centro","Aurelio, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,"Camera Matrimoniale2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito"
561,Biancorèroma B&B,"8,1",Ottimo ,403 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 247,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Tripla con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Tripla con Bagno Privato Esterno Vari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
